Politician,Quote,Image URL,char_count,word_count,word_length,adv_count,adj_count,noun_count,verb_count,det_count,sentiment,named_entities,named_entities_count
Joe Biden,women are  disproportionately impacted by voter id laws   especially married women who change their names  or those whose ids do not accurately reflect their gender,mostly-true,164,25,5.44,19.0,19.0,19.0,19.0,19.0,0.0,,0
Ralph Northam,the virginia employment commission is sixth in the nation for getting benefits to eligible people quickly,mostly-true,105,16,5.625,13.0,13.0,13.0,13.0,13.0,0.3818,"('the virginia employment commission', 'ORG'), ('sixth', 'ORDINAL')",2
Pramila Jayapal,the average hospital stay for a case of covid    costs about          the vaccine is free,mostly-true,89,15,4.2,12.0,12.0,12.0,12.0,12.0,0.5106,,0
Roy Cooper,north carolina during this pandemic had among the lowest covid related deaths  as well as job losses per capita,mostly-true,111,19,4.842105263157895,15.0,15.0,15.0,15.0,15.0,-0.4939,"('north carolina', 'GPE')",1
Facebook posts,sailors at sea  all vaxxed  all with covid  seven  weeks following deployment,mostly-true,77,12,5.166666666666667,9.0,9.0,9.0,9.0,9.0,0.0,"('seven  weeks', 'DATE')",1
Instagram posts,the man next to mike pompeo in a november      photo  is the guy the trump administration helped get out of jail in      and who is now the  president  of afghanistan,mostly-true,166,30,4.133333333333334,21.0,21.0,21.0,21.0,21.0,0.0,"('mike', 'PERSON'), ('november', 'DATE'), ('afghanistan', 'GPE')",3
Glenn Youngkin,we watched terry mcauliffe  when he was governor  lower the  accreditation  standards in our schools,mostly-true,100,15,5.466666666666667,9.0,9.0,9.0,9.0,9.0,-0.296,,0
Elise Stefanik,every time outgoing new york gov  andrew cuomo  says the firearm industry  is immune from lawsuits   it s false,mostly-true,111,19,4.631578947368421,17.0,17.0,17.0,17.0,17.0,0.4215,"('new york', 'GPE'), ('andrew cuomo', 'PERSON')",2
J.D. Scholten,by           of the population is expected to live in just    states,mostly-true,68,11,4.090909090909091,7.0,7.0,7.0,7.0,7.0,0.0,,0
Joe Biden,when terry mcauliffe was governor   unemployment went down in every single county  including rural virginia by nearly,mostly-true,117,17,5.764705882352941,14.0,14.0,14.0,14.0,14.0,-0.4404,"('virginia', 'GPE')",1
Viral image,george washington mandated smallpox vaccines for the continental army,mostly-true,69,9,6.777777777777778,8.0,8.0,8.0,8.0,8.0,0.0,"('george washington', 'PERSON'), ('the continental army', 'ORG')",2
Joe Biden,ten thousand people have recently died        of them  thereabouts  are people who hadn t been vaccinated,mostly-true,105,16,5.0625,12.0,12.0,12.0,12.0,12.0,-0.5574,"('ten thousand', 'CARDINAL')",1
Joe Biden,in       more people voted in america than ever in the history of america  in the middle of a once in a century pandemic,mostly-true,120,23,3.9565217391304346,15.0,15.0,15.0,15.0,15.0,0.0,"('america', 'GPE'), ('america', 'GPE'), ('a century', 'DATE')",3
Glenn Youngkin,over the last few years  more virginians are moving away from virginia than are moving to virginia from the other    states,mostly-true,123,21,4.714285714285714,16.0,16.0,16.0,16.0,16.0,0.0,"('the last few years', 'DATE'), ('virginians', 'NORP'), ('virginia', 'GPE'), ('virginia', 'GPE')",4
Kedron Bardwell,these   ankeny moms standing next to the governor are known qanon and anti vaxx conspiracy theorists,mostly-true,100,16,5.1875,14.0,14.0,14.0,14.0,14.0,-0.6908,,0
Kamala Harris,sadly during the course of the pandemic one third of our small businesses have closed,mostly-true,85,15,4.733333333333333,10.0,10.0,10.0,10.0,10.0,-0.4215,"('one third', 'CARDINAL')",1
Clarence McNeill,the use and possession of marijuana on u s  college campuses  remains prohibited under federal law,mostly-true,98,16,5.0625,12.0,12.0,12.0,12.0,12.0,0.0,"('marijuana', 'PERSON')",1
Don Huffines,texans have some of the highest property taxes in the nation,mostly-true,60,11,4.545454545454546,9.0,9.0,9.0,9.0,9.0,0.0,"('texans', 'NORP')",1
Facebook posts,the new york times published an old stock photo of a young girl and claimed israeli forces killed her during its recent war with hamas,mostly-true,134,25,4.4,19.0,19.0,19.0,19.0,19.0,-0.8555,"('the new york times', 'ORG'), ('israeli', 'NORP'), ('hamas', 'ORG')",3
Ron DeSantis,florida  had a year over year reduction  in overdose deaths,mostly-true,59,10,4.8,8.0,8.0,8.0,8.0,8.0,0.0,"('florida', 'GPE'), ('a year', 'DATE'), ('year', 'DATE')",3
Joe Biden,we ve created close to         manufacturing jobs since i ve taken office,mostly-true,73,12,4.5,9.0,9.0,9.0,9.0,9.0,0.25,,0
Katrina Shankland,i have been a state legislator for    years  passing over     bills into law and delivering for wisconsin families,mostly-true,114,18,4.944444444444445,13.0,13.0,13.0,13.0,13.0,0.0,"('years', 'DATE')",1
Jodi Emerson,on most campuses  you cannot destroy a chalked message unless you were the one that wrote it  you can t dump water on it  you can t even walk over it,mostly-true,149,31,3.7419354838709675,17.0,17.0,17.0,17.0,17.0,0.0644,,0
Ron Johnson,in order to be a poll worker on the conservative side  you have to register through the republican party of wisconsin,mostly-true,117,21,4.571428571428571,14.0,14.0,14.0,14.0,14.0,0.4019,"('the republican party', 'ORG')",1
Bryan Steil,washington  d c   allows noncitizens to vote in  municipal elections   so a russian citizen  after living in washington for    days can  vote for mayor in washington  d c  and they don t even need to show their id to do it,mostly-true,222,41,4.121951219512195,26.0,26.0,26.0,26.0,26.0,0.0,"('washington', 'GPE'), ('russian', 'NORP'), ('washington', 'GPE'), ('washington', 'GPE')",4
Karine Jean-Pierre,because wages are rising  this thanksgiving dinner is the fourth cheapest ever as a percentage of average earnings,mostly-true,114,18,5.333333333333333,15.0,15.0,15.0,15.0,15.0,0.0,"('fourth', 'ORDINAL')",1
Joe Biden,last year alone  natural disasters in america caused      billion in damages,mostly-true,76,11,5.454545454545454,8.0,8.0,8.0,8.0,8.0,-0.7184,"('last year', 'DATE'), ('america', 'GPE')",2
Eric Ager,this map was drawn entirely in secret by an ohio consultant   with taxpayer dollars,mostly-true,83,14,4.857142857142857,11.0,11.0,11.0,11.0,11.0,0.0,"('ohio', 'GPE')",1
Joe Biden,over the past four decades  we ve lost over         farms in america  and  over     million acres of farmland  and that s an area roughly equal to the size of minnesota  north and south dakota combined,mostly-true,201,35,4.285714285714286,20.0,20.0,20.0,20.0,20.0,-0.3182,"('the past four decades', 'DATE'), ('america', 'GPE'), ('over     million acres', 'QUANTITY'), ('farmland', 'GPE'), ('minnesota', 'GPE')",5
"Rachael Cabral-Guevara,",some individuals or businesses in wisconsin are charging    or       an hour for child care,mostly-true,91,14,4.928571428571429,10.0,10.0,10.0,10.0,10.0,0.4939,"('wisconsin', 'GPE')",1
MAGA Inc,gov  ron desantis  actually sponsored the bill to make puerto rico a state,mostly-true,74,13,4.615384615384615,12.0,12.0,12.0,12.0,12.0,0.0,"('gov  ron desantis', 'PERSON')",1
Nikki Haley,china is  the largest developer of neuro strike weapons  weapons engineered to change the brain activity of military commanders and segments of the population,mostly-true,158,24,5.541666666666667,19.0,19.0,19.0,19.0,19.0,-0.743,"('china', 'GPE')",1
Mike Johnson,in the time it s going to take me to deliver this speech  we ll go up another     million in debt,mostly-true,97,21,3.4285714285714284,12.0,12.0,12.0,12.0,12.0,-0.3612,"('another     million', 'CARDINAL')",1
Chris Christie,in the last    months  customs and border patrol has averaged         apprehensions a month  and you know how many beds we have to detain people at the border  thirty eight thousand,mostly-true,181,30,4.6,21.0,21.0,21.0,21.0,21.0,-0.5719,"('the last    months', 'DATE'), ('thirty eight thousand', 'CARDINAL')",2
Jim Justice,credit card debt is above    trillion for the first time ever,mostly-true,61,11,4.363636363636363,8.0,8.0,8.0,8.0,8.0,0.0258,"('first', 'ORDINAL')",1
West Virginia Republican Party,since biden took office     real wages have fallen monthly,mostly-true,58,9,5.111111111111111,8.0,8.0,8.0,8.0,8.0,-0.3612,"('monthly', 'DATE')",1
George Zimmerman,the percentage of students that are going to college  in west virginia  has been declining for five years,mostly-true,105,18,4.777777777777778,12.0,12.0,12.0,12.0,12.0,0.0,"('west virginia', 'GPE'), ('five years', 'DATE')",2
Shelley Moore Capito,bidenomics has led to mortgage rates hitting a    year high   over,mostly-true,66,11,4.636363636363637,9.0,9.0,9.0,9.0,9.0,0.0,,0
Joe Manchin,just in the last four years      billion in federal funding has come to west virginia       billion more than we ve ever received,mostly-true,129,22,4.409090909090909,14.0,14.0,14.0,14.0,14.0,0.0,"('the last four years', 'DATE')",1
West Virginia University Faculty Senate,during e  gordon gee s presidency of west virginia university   student enrollments have steadily decreased,mostly-true,107,15,6.0,13.0,13.0,13.0,13.0,13.0,0.0,"('west virginia', 'ORG')",1
Jim Justice,under jim justice   west virginia had  the lowest unemployment rate in state history,mostly-true,84,13,5.3076923076923075,11.0,11.0,11.0,11.0,11.0,-0.2732,"('jim justice', 'PERSON'), ('west virginia', 'GPE')",2
Joe Biden,since joe biden  has taken office  unemployment in our  latino  community has been cut in half,mostly-true,94,16,4.6875,12.0,12.0,12.0,12.0,12.0,-0.6124,"('joe biden  ', 'PERSON'), ('half', 'CARDINAL')",2
Bernie Sanders,ceos are now making     times more than their average worker,mostly-true,60,10,4.7,8.0,8.0,8.0,8.0,8.0,0.0,,0
LaKeshia Myers,during the spring      election in milwaukee  a reduction to only five polling locations  came days before the election and was done without proper notice to voters,mostly-true,164,26,5.076923076923077,18.0,18.0,18.0,18.0,18.0,0.0,"('milwaukee', 'GPE'), ('only five', 'CARDINAL'), ('days', 'DATE')",3
Joe Biden,u s  inflation is  now down close to     the lowest among the world s leading economies,mostly-true,87,16,4.125,14.0,14.0,14.0,14.0,14.0,-0.3818,,0
Joe Biden,according to the congressional budget office   the inflation reduction act  will save the federal government      billion over the next    years because medicare will be paying less for the prescription drugs they re making available to seniors,mostly-true,244,36,5.5,27.0,27.0,27.0,27.0,27.0,0.4939,"('the next    years', 'DATE'), ('medicare', 'ORG')",2
Bernie Sanders,tens of millions of americans live in communities where they cannot find a doctor while others have to wait months to be seen,mostly-true,125,23,4.478260869565218,15.0,15.0,15.0,15.0,15.0,0.0,"('tens of millions', 'MONEY'), ('americans', 'NORP'), ('months', 'DATE')",3
Joe Biden,the no    weather related killer is heat      people die annually from its effects  more than from floods  hurricanes and tornadoes in america combined,mostly-true,151,23,5.173913043478261,17.0,17.0,17.0,17.0,17.0,-0.886,"('annually', 'DATE'), ('america', 'GPE')",2
Kamala Harris,florida  decided middle school students will be taught that enslaved people benefited from slavery,mostly-true,98,14,6.0,11.0,11.0,11.0,11.0,11.0,-0.8176,"('florida', 'GPE')",1
Alma Adams,almost     of borrowers with student loan debt didn t finish their degree,mostly-true,73,12,4.833333333333333,8.0,8.0,8.0,8.0,8.0,-0.3612,,0
Andrew Cuomo,no state gets back less from washington than new york state,mostly-true,59,11,4.454545454545454,9.0,9.0,9.0,9.0,9.0,-0.296,"('washington', 'GPE'), ('new york', 'GPE')",2
Andrew Cuomo,but we re below the national average in number of deaths in nursing homes,mostly-true,73,14,4.285714285714286,8.0,8.0,8.0,8.0,8.0,0.1154,,0
Richard Durbin,more than         daca recipients are essential infrastructure workers  including         daca recipients in the healthcare industry,mostly-true,132,15,6.733333333333333,13.0,13.0,13.0,13.0,13.0,0.0,,0
Stefan Mychajliw,the  erie co   n y   health commissioner makes more than the governor  the vice president of the united states  and has a salary that is comparable to dr  anthony fauci,mostly-true,168,30,4.366666666666666,25.0,25.0,25.0,25.0,25.0,0.4215,"('the united states', 'GPE'), ('anthony', 'PERSON')",2
Christina Blackcloud,the school voucher bill the iowa legislature is considering would  give your education tax dollars to corporations,mostly-true,114,17,5.705882352941177,14.0,14.0,14.0,14.0,14.0,0.0,,0
Joe Biden,of all new electric capacity planned to come onto the electric grid this year is clean energy,mostly-true,93,17,4.529411764705882,14.0,14.0,14.0,14.0,14.0,0.5859,"('this year', 'DATE')",1
Garlin Gilchrist,in michigan   we were able to really flatten  the racial disparity in covid    s impact  and make significant progress,mostly-true,118,19,4.894736842105263,14.0,14.0,14.0,14.0,14.0,0.5574,"('michigan', 'GPE')",1
Rebecca Kleefisch,wisconsin is second to last in the midwest in our vaccination rate and the governor says he s  satisfied,mostly-true,104,19,4.473684210526316,13.0,13.0,13.0,13.0,13.0,0.4215,"('wisconsin', 'GPE'), ('second', 'ORDINAL'), ('midwest', 'LOC')",3
Jon Rosenthal,says that  the way to reach  herd immunity  is for      of the population to get vaccinated,mostly-true,91,16,4.25,11.0,11.0,11.0,11.0,11.0,0.0258,,0
Christi Craddick,says that the oil and gas industry comprises     of the texas economy,mostly-true,69,12,4.5,9.0,9.0,9.0,9.0,9.0,0.0,"('texas', 'GPE')",1
Mike Parson,schools that are consistently implementing covid    mitigation strategies remain among the safest places for our students,mostly-true,121,16,6.4375,12.0,12.0,12.0,12.0,12.0,0.4019,,0
Jon Ossoff,says david perdue  hasn t held a single public town hall meeting in six years  and  sells four meetings a year and a retreat on a private island for a        corporate pac check,mostly-true,177,33,4.090909090909091,26.0,26.0,26.0,26.0,26.0,0.2023,"('david perdue', 'PERSON'), ('six years', 'DATE'), ('four', 'CARDINAL'), ('a year', 'DATE')",4
Chris Larson,in       republicans stripped     million from the budget for lead pipe replacement   because they thought it helped mke too much,mostly-true,129,19,5.2105263157894735,12.0,12.0,12.0,12.0,12.0,0.0,"('republicans', 'NORP')",1
Lyle Larson,says there s  up to     reduction in opioid dosage for medical cannabis users,mostly-true,77,13,4.615384615384615,8.0,8.0,8.0,8.0,8.0,0.0,,0
Joe Biden,the law governing the transition of presidential power  doesn t require there to be an absolute winner  it says the  apparent  winner,mostly-true,133,22,4.909090909090909,18.0,18.0,18.0,18.0,18.0,0.8225,,0
Kim Reynolds,if you can t get a test through test iowa  there are multiple other sites  your doctor  your clinics  your pharmacies  the stroke detection clinic centers,mostly-true,154,26,4.769230769230769,18.0,18.0,18.0,18.0,18.0,0.0,,0
Vicky Hartzler,unemployment report shows  america is bouncing back,mostly-true,51,7,6.285714285714286,6.0,6.0,6.0,6.0,6.0,-0.4404,"('america', 'GPE')",1
Alexandria Ocasio-Cortez,every single swing seat house democrat who endorsed  medicareforall won re election or is on track to win re election  every  single  one,mostly-true,137,23,4.826086956521739,19.0,19.0,19.0,19.0,19.0,0.8591,"('democrat', 'NORP'), ('one', 'CARDINAL')",2
Paula Jean Swearengin,west virginia is near last in the u s   rankings of education  clean drinking water  and child mortality,mostly-true,104,18,4.611111111111111,14.0,14.0,14.0,14.0,14.0,0.4019,"('west virginia', 'GPE')",1
JB Pritzker,says illinois has made a  nation leading  investment in funding for census outreach,mostly-true,83,13,5.3076923076923075,11.0,11.0,11.0,11.0,11.0,0.2732,"('illinois', 'GPE')",1
Nicole Galloway,mike parson opposes protections for pre existing conditions,mostly-true,59,8,6.5,7.0,7.0,7.0,7.0,7.0,0.0,"('mike parson', 'PERSON')",1
Chris Jacobs,i am for protecting pre existing conditions    i actually co sponsored legislation to do just that,mostly-true,98,16,5.0,13.0,13.0,13.0,13.0,13.0,0.0,,0
Jill Schupp,says u s  rep  ann wagner  voted five times against protecting pre existing conditions,mostly-true,86,14,5.0,12.0,12.0,12.0,12.0,12.0,0.0,"('ann wagner', 'PERSON'), ('five', 'CARDINAL')",2
Joe Manchin,now with the covid      more people are dependent on drugs or alcohol,mostly-true,69,12,4.416666666666667,9.0,9.0,9.0,9.0,9.0,0.0,,0
Facebook posts,an  anti black lives matter  flag replaced the american flag behind president trump during a waukesha campaign rally,mostly-true,116,18,5.388888888888889,16.0,16.0,16.0,16.0,16.0,-0.296,"('american', 'NORP'), ('waukesha', 'GPE')",2
Jon Hoadley,upton  voted a dozen times to kick thousands of michigan families off their health insurance and eliminate protections for preexisting conditions,mostly-true,145,21,5.904761904761905,15.0,15.0,15.0,15.0,15.0,0.0,"('a dozen', 'CARDINAL'), ('thousands', 'CARDINAL')",2
Joni Ernst,says she is ranked  one of the most bipartisan senators in the senate in the last    years,mostly-true,90,17,4.117647058823529,12.0,12.0,12.0,12.0,12.0,0.0,"('one', 'CARDINAL'), ('senate', 'ORG'), ('the last    years', 'DATE')",3
Nicole Galloway,says  gov  parson s administration purged         kids from medicaid rolls,mostly-true,74,10,5.5,9.0,9.0,9.0,9.0,9.0,0.0,"('medicaid', 'ORG')",1
Gwen Moore,you can vote in wisconsin with a photo id  even if that id is expired or you ve moved,mostly-true,85,19,3.473684210526316,12.0,12.0,12.0,12.0,12.0,0.0,"('wisconsin', 'GPE')",1
Kamala Harris,the biden administration s american jobs plan will be  the biggest non defense investment in research and development in the history of our country,mostly-true,147,24,5.125,18.0,18.0,18.0,18.0,18.0,0.128,"('american', 'NORP')",1
Wisconsin Assembly GOP,republicans on the joint finance committee removed more than    billion in spending increases from gov  evers  budget proposal,mostly-true,126,18,5.777777777777778,13.0,13.0,13.0,13.0,13.0,0.0,"('republicans', 'NORP'), ('more than    billion', 'MONEY')",2
Tony Evers,regulating and taxing marijuana much like we do alcohol would generate more than     m in revenue starting in,mostly-true,109,18,4.888888888888889,11.0,11.0,11.0,11.0,11.0,0.3612,"('marijuana', 'PERSON')",1
Joe Biden,after the american rescue plan s food and nutrition assistance   hunger is already sharply down in the united states,mostly-true,116,19,5.052631578947368,15.0,15.0,15.0,15.0,15.0,0.6249,"('american', 'NORP'), ('the united states', 'GPE')",2
Tim Scott,says democrats blocked his efforts at police reform,mostly-true,51,8,5.5,6.0,6.0,6.0,6.0,6.0,-0.2732,"('democrats', 'NORP')",1
Jill Underly,for mitigating covid    spread   masks  are  the number one way to do so,mostly-true,72,13,4.076923076923077,10.0,10.0,10.0,10.0,10.0,0.0772,"('one', 'CARDINAL')",1
Terry McAuliffe,i restored felons  rights             more than any governor in the history of america,mostly-true,86,13,4.6923076923076925,10.0,10.0,10.0,10.0,10.0,0.34,"('america', 'GPE')",1
Shelley Moore Capito,president joe biden s american relief plan  has a lot of money in it for schools  but if you really look at it   it says that the school money is going to go out until the year,mostly-true,176,37,3.675675675675676,23.0,23.0,23.0,23.0,23.0,0.2617,"('joe biden s american relief', 'PERSON'), ('the year', 'DATE')",2
Joe Biden,a new  independent study put out last week found that at least    of our largest corporations used various loopholes to pay zero federal income tax in,mostly-true,150,26,4.653846153846154,18.0,18.0,18.0,18.0,18.0,-0.1027,"('last week', 'DATE'), ('zero', 'CARDINAL')",2
Nicholas Langworthy,residents of new york state  pay the highest taxes in the nation,mostly-true,64,12,4.333333333333333,10.0,10.0,10.0,10.0,10.0,-0.1027,"('new york', 'GPE')",1
Pete Buttigieg,president joe biden s infrastructure proposal  is fully paid for  across    years  it would raise all of the revenue needed for these once in a lifetime investments,mostly-true,164,27,4.888888888888889,20.0,20.0,20.0,20.0,20.0,0.0,"('joe biden s', 'PERSON')",1
Rick Gundrum,says gov  tony evers          state budget  increases taxes    billion,mostly-true,70,9,5.333333333333333,8.0,8.0,8.0,8.0,8.0,0.0,,0
Roy Cooper,people don t pretend to be someone else to go in and vote  you just don t see that kind of fraud,mostly-true,96,22,3.3636363636363638,15.0,15.0,15.0,15.0,15.0,-0.6697,"('people don', 'PERSON')",1
Viral image,says sen  cory booker wants to require a federal license for gun owners but criticizes voter id laws as discriminatory,mostly-true,118,20,4.9,16.0,16.0,16.0,16.0,16.0,-0.5859,,0
Alex Padilla,in a majority of states  new voters are able to obtain a rifle quicker than they re able to cast their first ballot,mostly-true,115,23,4.0,16.0,16.0,16.0,16.0,16.0,0.0,"('first', 'ORDINAL')",1
Julian Bradley,the latest stimulus package  sends stimulus checks to imprisoned murderers  rapists  and child molesters,mostly-true,104,14,6.285714285714286,12.0,12.0,12.0,12.0,12.0,-0.9413,,0
Kirsten Gillibrand,we had the highest number of  military  sexual assaults ever reported in the last year  and  we had the lowest conviction rate and the lowest prosecution rate,mostly-true,158,27,4.7407407407407405,21.0,21.0,21.0,21.0,21.0,-0.891,"('the last year', 'DATE')",1
Tom Nelson,right now  two thirds of the u s  senate is composed of millionaires,mostly-true,68,13,4.153846153846154,10.0,10.0,10.0,10.0,10.0,0.0,"('two thirds', 'CARDINAL'), ('senate', 'ORG')",2
Viral image,these    mass shootings involved an ar    style weapon,mostly-true,54,8,5.125,8.0,8.0,8.0,8.0,8.0,-0.296,,0
Nicole Malliotakis,if you are a hard working law abiding citizen who earns          you don t get a stimulus check  but if you are a convicted murderer or rapist sitting in jail  you do,mostly-true,166,32,3.875,22.0,22.0,22.0,22.0,22.0,-0.9473,,0
Ron DeSantis,when i became governor  we banned sanctuary cities and we also did e verify,mostly-true,75,14,4.357142857142857,10.0,10.0,10.0,10.0,10.0,-0.4588,,0
Veronica Escobar,we saw the increases  of unaccompanied minors at the southern u s  border  dating back almost a year,mostly-true,100,18,4.444444444444445,15.0,15.0,15.0,15.0,15.0,0.0,,0
Kayleigh McEnany,current immigration  apprehension numbers are worse than the  crisis  biden obama pelosi acknowledged in,mostly-true,104,14,6.285714285714286,12.0,12.0,12.0,12.0,12.0,-0.8834,"('obama', 'GPE')",1
Tom Cotton,senate democrats just voted to give stimulus checks to criminals in prison,mostly-true,74,12,5.25,9.0,9.0,9.0,9.0,9.0,-0.7906,"('senate', 'ORG'), ('democrats', 'NORP')",2
Facebook posts,in aberdeen  miss    massive     of mail in ballots proved fraudulent  judge orders election do over,mostly-true,100,15,5.133333333333334,11.0,11.0,11.0,11.0,11.0,-0.5859,,0
Facebook posts,says al gore said in      that  the north pole will be ice free in the summer by      because of man made global warming,mostly-true,120,23,3.782608695652174,16.0,16.0,16.0,16.0,16.0,0.5994,"('al gore', 'PERSON'), ('the summer', 'DATE')",2
Stand for America,the covid    rescue bill includes money for a list of projects that are not covid related,mostly-true,89,16,4.4375,13.0,13.0,13.0,13.0,13.0,0.5106,,0
Mitch McConnell,in the american rescue plan   just about    of the money is for vaccines,mostly-true,72,13,4.230769230769231,9.0,9.0,9.0,9.0,9.0,0.5106,"('american', 'NORP')",1
Ron Johnson,the shutdown of the keystone pipeline project will mean  nearly        union jobs lost  with wisconsin companies,mostly-true,112,16,5.5,13.0,13.0,13.0,13.0,13.0,-0.3182,,0
Viral image,covid    infections down     from trump s last day  covid    vaccinations up     from trump s last day  competence matters,mostly-true,122,18,4.944444444444445,14.0,14.0,14.0,14.0,14.0,0.0258,"('last day', 'DATE'), ('last day', 'DATE')",2
Sarah Godlewski,here in wisconsin  prescription drug costs grew at a pace of nearly twice as much as the average wisconsinite s income from,mostly-true,123,22,4.590909090909091,17.0,17.0,17.0,17.0,17.0,0.0,"('wisconsin', 'GPE')",1
Chuck Grassley,during the first   months of fy     customs  border protection recorded    k encounters w illegal immigrants at s border that s up      from same point in fy,mostly-true,157,26,4.5,19.0,19.0,19.0,19.0,19.0,-0.5574,"('the first   months', 'DATE')",1
Iowa House Democrats,according to republican rep  jeff shipley  teachers should not receive a pay raise if they teach american history that republicans don t agree with,mostly-true,147,24,5.083333333333333,18.0,18.0,18.0,18.0,18.0,0.4207,"('republican', 'NORP'), ('jeff shipley  ', 'PERSON'), ('american', 'NORP'), ('republicans', 'NORP')",4
Joe Biden,millions of hardworking americans will no longer have to worry about unexpected medical bills,mostly-true,93,14,5.714285714285714,11.0,11.0,11.0,11.0,11.0,-0.6249,"('millions', 'CARDINAL'), ('americans', 'NORP')",2
Wisconsin Senate Republicans,gov  tony evers has  only gotten one third of the money meant for covid relief out the door  he is sitting on      million in arpa funds left unspent  in fact  he still has cares act money from two years ago,mostly-true,207,40,3.95,28.0,28.0,28.0,28.0,28.0,0.7269,"('one third', 'CARDINAL'), ('two years ago', 'DATE')",2
Melanie D'Arrigo,teachers can only deduct up to      for school supplies on their taxes  but billionaires can write off the entire cost of a private jet,mostly-true,135,24,4.416666666666667,14.0,14.0,14.0,14.0,14.0,0.0,,0
Patrick Gaspard,inflation has been caused by the global economies shutting down all at once  reopening all at once  and   the u s  economy is recovering at a far faster pace than any other country in the oecd,mostly-true,192,36,4.222222222222222,28.0,28.0,28.0,28.0,28.0,0.0,,0
Glenn Youngkin,virginia s economic growth  has stalled at less than    per year for eight years,mostly-true,80,14,4.5,9.0,9.0,9.0,9.0,9.0,0.2023,"('virginia', 'GPE'), ('eight years', 'DATE')",2
JB Pritzker,a larger percentage of illinoisans have been vaccinated than in any other midwestern state,mostly-true,90,14,5.5,11.0,11.0,11.0,11.0,11.0,0.0,"('illinoisans', 'NORP')",1
Christine Drazan,governor kate brown wants to make oregon s mask mandate permanent,mostly-true,65,11,5.0,10.0,10.0,10.0,10.0,10.0,0.0,"('kate brown', 'PERSON'), ('oregon', 'GPE')",2
Glenn Youngkin,sixty percent of  virginia s  children don t meet national proficiency standards,mostly-true,80,12,5.583333333333333,11.0,11.0,11.0,11.0,11.0,0.0,"('sixty percent', 'PERCENT'), ('virginia', 'GPE')",2
Chuck Todd,clarence thomas is about to become the only member of the current supreme court who was nominated by a president of one party and confirmed by a senate controlled by the other party,mostly-true,181,33,4.515151515151516,23.0,23.0,23.0,23.0,23.0,0.8402,"('clarence thomas', 'PERSON'), ('supreme court', 'ORG'), ('one', 'CARDINAL'), ('senate', 'ORG')",4
Beto O'Rourke,right now  in the average texas fourth grade classroom    out of    kids cannot read at grade level,mostly-true,99,17,4.470588235294118,13.0,13.0,13.0,13.0,13.0,0.0,"('fourth', 'ORDINAL')",1
Liz Mathis,ashley hinson voted against the bipartisan infrastructure bill that made this money  for iowa s locks and dams  possible  once again she s taking credit for work she didn t do,mostly-true,175,31,4.580645161290323,24.0,24.0,24.0,24.0,24.0,0.3818,"('ashley hinson', 'PERSON')",1
Facebook posts,omicron is  the fastest spreading virus known to humankind,mostly-true,58,9,5.444444444444445,8.0,8.0,8.0,8.0,8.0,0.0,"('omicron', 'PERSON')",1
Ralph Northam,we ve brought in more than     billion in economic investment  more than four times any previous administration,mostly-true,111,17,5.294117647058823,10.0,10.0,10.0,10.0,10.0,0.0,"('more than     billion', 'MONEY'), ('more than four', 'CARDINAL')",2
Beto O'Rourke,expanding medicaid  which if we had done at the beginning of the abbott administration  would have brought in      billion to this state s economy,mostly-true,146,24,4.833333333333333,15.0,15.0,15.0,15.0,15.0,0.0,"('medicaid', 'ORG')",1
Lee Zeldin,voter id is supported by an overwhelming majority of nyers  from all across the state  walks of life    political parties,mostly-true,121,20,4.85,15.0,15.0,15.0,15.0,15.0,0.6124,,0
John McGuire,overdoses in virginia  are  up,mostly-true,30,5,4.8,3.0,3.0,3.0,3.0,3.0,0.0,"('virginia', 'GPE')",1
Robert Reich,norway spends about         per child on early childhood care  finland spends          germany          and the u s,mostly-true,115,16,4.5625,12.0,12.0,12.0,12.0,12.0,0.4939,"('norway', 'GPE'), ('finland', 'GPE'), ('germany', 'GPE'), ('the u s', 'ORG')",4
Amy Klobuchar,over time there have been     some carve outs to the filibuster,mostly-true,63,11,4.454545454545454,8.0,8.0,8.0,8.0,8.0,0.0,,0
Joe Biden,even after accounting for rising prices  the typical american family has more money in their pockets than they did last year,mostly-true,124,21,4.904761904761905,15.0,15.0,15.0,15.0,15.0,0.0,"('american', 'NORP'), ('last year', 'DATE')",2
Tammy Baldwin,within two years  there were two     year  storm  events  in wisconsin,mostly-true,70,11,4.7272727272727275,7.0,7.0,7.0,7.0,7.0,0.0,"('two years', 'DATE'), ('two     year', 'DATE')",2
Colin Allred,you ve had over   million women drop out of the workforce during this pandemic,mostly-true,78,14,4.5,8.0,8.0,8.0,8.0,8.0,-0.2732,"('million', 'CARDINAL')",1
Meagan Wolfe,only a court can decide that somebody is incompetent to vote     the state election commission  cannot force facilities  private facilities  to allow special voting deputies  inside,mostly-true,181,26,5.6923076923076925,21.0,21.0,21.0,21.0,21.0,0.128,,0
Gwen Moore,if you re a low wage worker and you re single and don t have children  we re literally taxing you into poverty,mostly-true,110,23,3.782608695652174,15.0,15.0,15.0,15.0,15.0,-0.6597,,0
Viral image,the     u s  billionaires together are worth      trillion  if we confiscated      of their wealth  we d raise enough to run the federal government for less than eight months,mostly-true,174,28,4.642857142857143,18.0,18.0,18.0,18.0,18.0,0.6249,"('less than eight months', 'DATE')",1
