Politician,Quote,Image URL
Cory Booker,we built a new prison every    days between      and      to keep up with our mass incarceration explosion of nonviolent offenders,mostly-true
Jeb Bush,says in       he  won more hispanic votes than anglo votes     percent in the state,mostly-true
Scott Walker,our last budget committed the highest level of need based financial aid in state history,mostly-true
Bill O'Reilly,russia and china  absolutely said pretty clearly  they would not keep economic sanctions on iran if the united states  walked away from the deal,mostly-true
Marco Rubio,forty percent of people in this country  illegally  are overstaying visas,mostly-true
Bernie Sanders,the top one tenth of   percent  of americans  own almost as much wealth as the bottom    percent,mostly-true
NumbersUSA,more than half of all drivers  licenses issued in california this year have gone to illegal aliens,mostly-true
Barack Obama,since        we ve cut homelessness  among veterans  by a third,mostly-true
David Perdue,the national technical information service spends millions of taxpayer dollars to print and sell government documents that are available free in online searches,mostly-true
Terry McAuliffe,all  maryland  crabs are born in virginia,mostly-true
Rand Paul,we borrow a million dollars every minute,mostly-true
Police Chief Billy Grogan,georgia has more than     law enforcement agencies  and fewer than    percent of them are state certified,mostly-true
Hillary Clinton,sen  rubio s  tax plan  would cut taxes for households making around    million a year by almost           which is way more than three times the earnings of a typical family,mostly-true
Scott Walker,says because of his actions  wisconsin  property taxes today are lower than they were four years ago,mostly-true
Alan Grayson,in the past two years in congress  i ve written more bills  passed more amendments on the floor of the house and enacted more of my bills into law than any other member of the house,mostly-true
Tim Lee,cobb county businesses have already been awarded contracts worth      million on construction of a new braves stadium,mostly-true
Tim Finchem,austin s the fastest growing city in the country the last five years,mostly-true
Hillary Clinton,congress will begin its recess  without having allocated one penny  to fight zika,mostly-true
Bill Clinton,percent of the american people haven t gotten a pay raise since the crash,mostly-true
Paul Ryan,to this day   the cuban government  is a regime that provides safe harbor to terrorists and fugitives,mostly-true
Gayle Smith,since        every continent has seen substantial gains  with individual incomes growing by more than a third in every region of the developing world,mostly-true
Bernie Sanders,today  the united states has  sadly  one of the lowest voter turnouts of any major country on earth,mostly-true
Gayle Smith,over the last    years  extreme poverty has been cut in half,mostly-true
Gina Hinojosa,texas has a higher incarceration rate than russia or iran,mostly-true
Debbie Wasserman Schultz,superdelegates  have never been a determining factor in who our nominee is since they ve been in place since,mostly-true
Joe Pitts,more people were killed by terrorists in      than in any other year ever  after an    percent increase from,mostly-true
Paul Ryan,percent of americans believe that we are on the wrong path,mostly-true
Roy Cooper,north carolina spends      less per student than it did before the great recession  and we have one of the lowest per pupil spending levels in the nation,mostly-true
Harry Reid,senate democrats  have never held up a supreme court nomination,mostly-true
John Kasich,says donald  trump got  you know       billion worth of free media  i got  like  none,mostly-true
New Hampshire Republican Party,given the results of the primary  the vote of one new hampshire superdelegate is equal to the votes of about        grassroots activists,mostly-true
Katie McGinty,here in pennsylvania  the annual cost for infant childcare is over         per child  which is more than most families pay in rent and almost the same cost as in state college tuition,mostly-true
Hillary Clinton,arizona schools rank   th in the nation  dead last in funding per student,mostly-true
Don Gaetz,we were able to provide      million worth of property tax relief,mostly-true
Barack Obama,illegal  immigration is lower than it s been in    years,mostly-true
Anthony Rendon,california  cut about      billion in child care  during the recession   we ve only reinvested about      million,mostly-true
Culinary Workers Union,susie lee and her husband  own    homes across the country and use their private jet to take vacations   and invest in  companies like walmart  halliburton and geo group,mostly-true
Caleb Rowden,seventy percent of missourians support voter photo id legislation,mostly-true
Hillary Clinton,americans haven t had a raise in    years,mostly-true
James Dobson,says ted cruz s wife heidi  will be the very first pro life first lady,mostly-true
Ted Cruz,i opposed tpp  trans pacific partnership  and have always opposed tpp,mostly-true
Hillary Clinton,in       bernie sanders  voted in the house with hard line republicans for indefinite detention for undocumented immigrants  and then he sided with those republicans to stand with vigilantes known as minutemen who were taking up outposts along the border to hunt down immigrants,mostly-true
Bernie Sanders,if you look at latino kids between    and    who graduated high school     percent of them are unemployed or underemployed    african american kids are unemployed or underemployed to the tune of    percent,mostly-true
Bernie Sanders,when honduran children came into this country   secretary clinton said send them back,mostly-true
Bernie Sanders,when new york gov  eliot spitzer wanted to  provide driver s licenses to those who are undocumented   hillary clinton  said don t do it,mostly-true
Tammy Baldwin,over        people die from  gunviolence every year  yet   the u s  centers for disease control and prevention  is banned from researching ways to prevent this,mostly-true
Jim Webb,the stock market has almost tripled since april of,mostly-true
Mitch McConnell,says secretary of state john kerry   when he was a senator  flew to managua and met with a communist dictator there  daniel ortega  and accused the reagan administration of engaging in terrorism,mostly-true
Mark Pocan,wisconsin is  dead last in the midwest for job creation,mostly-true
Jalen Ross,every day  a black name resume is    percent less likely to get responded to than a white name resume,mostly-true
Erika Sanzi,of the        rhode island children in charter school lotteries for the fall  more than    percent are poor      in addition  a majority of them are students of color,mostly-true
American Bridge 21st Century,jeb  bush  not the state of florida  decided which private emails to disclose,mostly-true
Florida Chamber of Commerce,medicaid is close to    percent of the state budget and  the biggest expenditure at the state,mostly-true
Tom Cotton,if president barack obama strikes a nuclear deal with iran   the next president could revoke such an executive agreement with the stroke of a pen and future congresses could modify the terms of the agreement at any time,mostly-true
Georgia Craft Brewers Guild,georgia is one of only five states where breweries can t sell you a pint of beer to drink on premise or sell you a six pack to go,mostly-true
Joe Scarborough,says hillary clinton  sent a memo  to all state department staff that said  you should not do state department business on personal email,mostly-true
Doug Collins,president obama said     times  he could not authorize immigration reform by executive order,mostly-true
David Jolly,a federal judge said president barack obama s executive action on immigration is  unconstitutional,mostly-true
Scott Walker,more than any republican governor in the      elections   i took a higher percentage of the republican vote and  yet i also carried independents by    points,mostly-true
Rick Scott,the average person only pays about        in state taxes   which is the lowest of all    states,mostly-true
Hillary Clinton,you had more women getting computer sciences degrees in the    s by a factor of   plus than you do now,mostly-true
Dave Brat,over    years  federal spending on education has grown by     percent  but test scores remain flat,mostly-true
John Boehner,on immigration   the president said    times     times  that he couldn t do what he eventually did,mostly-true
Texas Democratic Party,more than   million texans live without affordable health care because rick perry failed to  partner with the legislature to find a texas solution to closing the coverage gap,mostly-true
Jon Erpenbach,in general  it appears  wisconsin s right to work bill would  likely apply to  the green bay packers players and their union,mostly-true
Johnny Isakson,when you have       veterans a year committing suicide  then you have a serious problem,mostly-true
John Legend,we live in the most incarcerated country in the world,mostly-true
Joseph Yost,one third of our age group  millennials  have moved back in with their parents,mostly-true
Greg Abbott,times barack obama said he did not have the authority to implement this type of  anti deportation  measure  and then the day after he signed this into law  he said  quote   i just changed the law,mostly-true
Hillary Mann Leverett,isis sends out         social  media  messages a day,mostly-true
Dave Claunch,austin has more lobbyists working for it than any other municipality in texas,mostly-true
Center for Western Priorities,oil companies can obtain an acre of public land for less than the price of a big mac,mostly-true
Barack Obama,nearly one in five women in america has been a victim of rape or attempted rape,mostly-true
Sheila Resseger,by spring       parents of        students in new york state had refused to let them take the common core tests,mostly-true
Maggie Hassan,our median household income in      was the highest in the nation,mostly-true
Lee May,in the past year  dekalb has  attracted and retained more than       jobs,mostly-true
Carly Fiorina,says donald trump was  forced to file for bankruptcy not once  not twice  four times,mostly-true
Bernie Sanders,the top     th of   percent today in america owns almost as much wealth as the bottom    percent,mostly-true
Marco Rubio,we had a three hour debate  no discussion about the national debt  very little about the economy,mostly-true
Karl Rove,at this point in        rick perry was ahead at      percent  and we had seven more leads before it finally settled on mitt romney,mostly-true
Dale Kooyenga,the university of wisconsin system   is larger than any business in the state of wisconsin,mostly-true
Rand Paul,there s never been a direct supreme court case on people who were here illegally  whether or not their kids are citizens,mostly-true
Barry DuVal,we re the only major oil producing nation in the world with a self imposed ban on exporting our crude oil to other nations,mostly-true
Donald Trump,says marco rubio has  the worst voting record there is today,mostly-true
Ted Cruz,a majority of the men and women on this stage have previously and publicly embraced amnesty  i am the only candidate on this stage who has never supported amnesty,mostly-true
Jeb Bush,when he  donald trump  asked florida to have casino gambling  we said no,mostly-true
Club for Growth,says donald trump supports the wall street bailout,mostly-true
Donald Trump,the top man at yale law school came out     with just a raging report  about former hp ceo carly fiorina  saying she is  one of the worst executives in his memory in history running the company,mostly-true
Lloyd Doggett,as many as six federal department budget bills have been delayed because of opposition to amendments that would ban confederate battle flag sales at federal building gift shops,mostly-true
Reader,atlanta has issued an increasing number of citations   and collected an increasing amount of revenue   since mayor kasim reed took office in,mostly-true
Ron Bergeron,there has never been a panther attack in the history of florida,mostly-true
Hillary Clinton,twenty three million americans suffer from addiction  but only   in    get treatment,mostly-true
Ted Cruz,it has been the law since the beginning of the country that the children of american citizens born     abroad are american citizens by birth,mostly-true
Viral image,bernie sanders opposes the death penalty  and hillary clinton supports it,mostly-true
Viral image,bernie sanders opposes the trans pacific partnership  and hillary clinton supports it,mostly-true
Scott Walker,says he  turned down a medicaid expansion under obamacare   but because of actions he took  for the first time in wisconsin s history  everyone living in poverty is covered under medicaid,mostly-true
Bernie Sanders,african americans are twice as likely to be arrested and almost four times as likely to experience the use of force during encounters with the police,mostly-true
Americans for Prosperity,gov  maggie hassan s budget proposal  raises taxes on small businesses and increases taxes and fees by      million,mostly-true
Steve Cannon,buying the naming rights to the new falcons stadium is the largest marketing deal in mercedes benz history,mostly-true
Bruce Elfant,the united states is about    th in voter turnout among the industrialized nations  and texas is near the bottom in terms of voter registration and voter turnout,mostly-true
Scott Walker,the rate in which people are working  in wisconsin  is almost five points higher than it is nationally,mostly-true
Marco Rubio,we have an army that just cut        spots,mostly-true
Matt Wuerker,the u s  has now spent more on reconstructing afghanistan than was spent on the marshall plan and the reconstruction of europe,mostly-true
Bill Clinton,there s not a single  solitary example that  signing the bill to end glass steagall  had anything to do with the financial crash,mostly-true
Democratic Party of Wisconsin,a  majority in every state favors path to citizenship for undocumented immigrants,mostly-true
Kasim Reed,peachtree and pine is one of the leading sites for tuberculosis in the nation,mostly-true
Elizabeth Warren,the average family not in the top    percent makes less money today than they were making a generation ago,mostly-true
Marco Rubio,administrative employees at colleges and universities have  more than doubled over the last    years  outpacing the growth of students by more than   to,mostly-true
Doonesbury,the cia paid two psychologists     million  to develop and run their torture program,mostly-true
Glenn Hegar,the  average taxpayer will see the equivalent of a   percent pay raise as a result of low fuel prices,mostly-true
Georgia Farm Bureau,agriculture contributes     billion to georgia s economy annually  making it the state s largest industry,mostly-true
Democratic National Committee,says jeb bush  not only opposes marriage equality  he s said he  personally  believes gay couples should be banned from adopting children,mostly-true
Mario Diaz-Balart,says that in       president barack obama said normalization with cuba would first require  liberation of all political prisoners and some basic steps toward freedom  including freedom of the press  political parties  labor unions,mostly-true
Jim Moran,we have a system now where in    states  the highest paid public employee is the state university s head football or basketball coach,mostly-true
Barack Obama,since the united states began negotiations with iran   that s probably the first year and a half in which iran has not advanced its nuclear program in the last decade,mostly-true
Marco Rubio,the reason why cubans don t have access to   st century telecommunications   like smart phones  like access to the internet   is because it is illegal in cuba,mostly-true
Ron Johnson,two thirds of the federal budget is  permanent law     it s permanently appropriated,mostly-true
Ana Navarro,a lot of what  cuba s  survival depends on is venezuelan oil money  which is drying up,mostly-true
Marco Rubio,in the u s  agreement with the cuban government   no commitment was made to allowing the establishment of political parties or to even begin the semblance of a transition to a democracy,mostly-true
Doonesbury,says       americans  died of gunfire  between the time of the ebola scare in dallas and the midterm elections,mostly-true
Pete Gallego,this congress made history as the least productive  most unpopular congress in the history of this proud nation,mostly-true
"L.C. ""Buster"" Evans",it has been many years  if ever  since an inmate has completed his or her high school diploma while incarcerated in a state correctional facility for adults,mostly-true
Michael Needham,the federal budget bill  reauthorizes the overseas private investment corporation  which provides taxpayer dollars so that the four seasons hotel can build a resort in turkey,mostly-true
Susan Stimpson,bill howell has been the consistent force behind every major tax increase in virginia in the last decade,mostly-true
Steve Adler,mike  martinez has voted to raise taxes and utility rates while ending free bus service for seniors,mostly-true
Barack Obama,we are younger than our competitors  and this is entirely because of immigration,mostly-true
Stephen Carter,more than    percent of american adults have committed a crime that could lead to imprisonment,mostly-true
Matthew Dowd,says president barack obama  has lost more members of the house and more members of the senate than any president ever has lost  in modern times,mostly-true
Bernie Sanders,in       the u s  led the world in the percentage of       year olds with college degrees  today we are in   th place,mostly-true
Michael McCaul,president barack obama  said over    times he did not have the legal authority  to act as he did on immigration,mostly-true
Keisha Lance Bottoms,atlanta mayor kasim reed became a city resident in the last annexation  opening the door to his candidacy,mostly-true
Mario Loyola,wisconsin s state budget is almost twice as large per person as the state budget of texas  and even after billions in tax cuts  wisconsin s working families and businesses remain subject to a heavy tax burden,mostly-true
Tim Kaine,every president since eisenhower has taken executive action to address immigration issues,mostly-true
Jorge Elorza,our median income here in providence is the same as the median income in mississippi,mostly-true
Rudy Giuliani,says     percent of blacks in america are killed by other blacks,mostly-true
Jason Stanford,texas had the worst voter participation in the country  in the november      elections,mostly-true
Jeff Morales,the actual  construction  contracts that we ve awarded to date have come in several hundred million dollars below estimates,mostly-true
Hillary Clinton,i spent    months putting together the sanctions against iran so that we could force them to the negotiating table,mostly-true
Chris Abele,since he took office as milwaukee county executive   we have never raised  bus fares and  this year there ll be a million route miles more than there were five years ago,mostly-true
Paul Doughty,jorge elorza still think your plan is safe  rescue captain kenyon just worked    hours straight     hours,mostly-true
John Bel Edwards,says david vitter  answered a prostitute s call minutes after he skipped a vote honoring    soldiers who gave their lives in defense of our freedom,mostly-true
Marion Hammer,forty five states allow open carry of firearms,mostly-true
Jennifer Shilling,of wi s roads are in poor or mediocre condition and     of wi s bridges are structurally deficient or functionally obsolete,mostly-true
Barack Obama,the united states  is  the largest provider of humanitarian assistance to displaced persons and refugees,mostly-true
Jeb Bush,it takes almost a year for a refugee to be processed in the united states,mostly-true
Martin O'Malley,net immigration from mexico last year was zero  fact check me,mostly-true
Bernie Sanders,u s  troops came home from iraq and afghanistan  with ptsd and traumatic brain injury,mostly-true
Hillary Clinton,women fill two thirds of minimum wage jobs,mostly-true
Rand Paul,says marco rubio is proposing a new    trillion  welfare program  in tax credits and     trillion in new military spending,mostly-true
Bernie Sanders,over half of the black workers in this country earn less  than     an hour,mostly-true
Tim Echols,our state has no major rivers to produce big hydropower,mostly-true
Ben Carson,go look on the west point website and you ll see those specific words   full scholarship to west point   so even though it is  you know  given as a grant for anybody who gets in  those words are used,mostly-true
Republican Party of Florida,how many concerts would taylor swift have to perform to pay off one day of interest on our national debt  she would have to perform every day for three years,mostly-true
Kevin de León,no city in the state  no state in this nation  for that matter the entire world  has adopted  clean energy  targets more ambitious in scale,mostly-true
Jeb Bush,if you look at the three people on the  debate  stage from the united states senate  all three of them have a combined two bills that became law that they ve sponsored,mostly-true
Ted Cruz,my campaign  finished the last quarter reporting the most cash on hand of any republican in the field         million in the bank       million more than the jeb bush campaign,mostly-true
Jeb Bush,the federal government owns about half of the west  yet it continues to acquire more land,mostly-true
Centers for Disease Control,georgia has the highest flu activity in the country,mostly-true
Jennifer Granholm,says marco rubio opposes abortion  even in the case of rape and incest,mostly-true
Hillary Clinton,says john kerry  is the first secretary of state to rely primarily on a government account,mostly-true
Chris Koster,since       higher education in the state has been cut or allowed to erode     by    or    percent,mostly-true
Ron Johnson,some     million of the estimated    million to    million people  in this country illegally are working,mostly-true
Martin O'Malley,says hillary clinton  couldn t bring herself to say we need to separate commercial banking and speculative banking  namely reinstating glass steagall,mostly-true
Chris Danou,a republican bill that would change john doe criminal investigations is  creating exceptions in the law for politicians,mostly-true
Hillary Clinton,we lose an average of    americans every day because of guns,mostly-true
Elton John,hiv aids is  dramatically on the rise in the u s  south,mostly-true
Hillary Clinton,we just had the best year for the auto industry in america in history,mostly-true
Usain Bolt,zika mosquitoes  can t catch me,mostly-true
Penny Pritzker,since        after tax incomes are up nearly    percent,mostly-true
Chris Koster,closing our state s wage gap would make a    billion difference to missouri women,mostly-true
Chris Wallace,every republican nominee since richard nixon  who at one time was under an audit  has released their tax returns,mostly-true
Newt Gingrich,the chinese last year probably stole      billion in intellectual property from the united states,mostly-true
Jack Lew,almost         people left puerto rico last year,mostly-true
Alan Grayson,says patrick murphy is one of  only three democrats in the house today who voted  to create the benghazi committee,mostly-true
Ken Cuccinelli,half of illegal immigrants  come on legal visas and then overstay,mostly-true
Bill McRaven,university of texas undergraduate student debt  is less than          probably one of the lowest debts across the nation,mostly-true
Hillary Clinton,the market is making this decision  the market has driven down the cost of coal  so you have companies going bankrupt,mostly-true
Michael O'Neill,there s no data that says a gun free zone has saved lives,mostly-true
Hillary Clinton,says donald trump promised to repeal obamacare  build a wall  ban muslims  and more,mostly-true
Joe Biden,cervical cancer in africa is  fully preventable with basic education  screening and vaccines,mostly-true
Colorado Health Institute,coloradocare would have higher revenues than mcdonald s,mostly-true
John Carter,this is not a joke  the president wants to house illegal aliens on our nation s military installations,mostly-true
Ted Cruz,here in california  donald trump has given         to jerry brown  gavin newsom and kamala harris,mostly-true
Bernie Sanders,winning enough pledged delegates is  not impossible,mostly-true
Maggie Hassan,kelly ayotte has voted four times against the federal paycheck fairness act,mostly-true
Maggie Hassan,kelly ayotte  has voted to defund planned parenthood  six times,mostly-true
Arizona Grassroots Action PAC,says ann kirkpatrick  votes with her party nearly    percent of the time,mostly-true
Michelle Obama,research even shows that sending more girls to school can boost an entire country s gdp,mostly-true
William Barber,percent of north carolinians are for the living wage,mostly-true
Bernie Sanders,says an array of statistics show that conditions in some parts of baltimore rival that of  the west bank in palestine    north korea   and  distressed cities in nigeria  india  china and south africa,mostly-true
Alan Grayson,says lebron james  stops paying his social security taxes at the beginning of the second quarter of the first game of the season,mostly-true
John Oliver,we knew strom thurmond had proposed  the amendment that blocked puerto rico s use of chapter   bankruptcy protection,mostly-true
Ban Ki-moon,the paris agreement  is by far the largest number of countries ever to sign an international agreement on a single day,mostly-true
Rick Scott,over the past two years  florida has cut more than    billion in taxes,mostly-true
Tim Ziemer,in africa  a child dies every minute because of  malaria,mostly-true
Bob Goodlatte,before taking executive action on immigration  president obama stated    times that he does not have the authority to change immigration laws on his own,mostly-true
Steve Adler,of the jobs created  in austin  from      to      do not pay families a living wage,mostly-true
Pam Bondi,of the    top oxycodone dispensing doctors who used to live in florida   today  there are none,mostly-true
Amy Klobuchar,children who witness domestic violence are  twice as likely to commit it themselves,mostly-true
Mike Wise,says nfl commissioner roger goodell interviewed domestic abuse victim janay rice with ray rice present and for  every domestic violence agency  every law enforcement agency  that s a no no,mostly-true
Robert Sarvis,over    of our      house of  delegates seats go uncontested every year  and over    percent of our state senate seats go uncontested every year,mostly-true
Mark Harris,says glenn grothman pushed through state tax credits that when phased in   someone that owns a factory that produces millions in income  will pay  less tax than their nephew would if he worked full time at taco bell for minimum wage,mostly-true
John McCain,says president obama  has never made a statement     that he wanted a residual force left  in iraq,mostly-true
Ending Spending Action Fund,says michelle nunn has acknowledged allowing a convicted felon to hold a fundraiser for her,mostly-true
John McCain,obama s  entire national security team  including his secretary of state  said we want to arm and train and equip  syrian rebel forces   and he made the unilateral decision to turn them down,mostly-true
Charlie Crist,says rick scott  thinks employers should be able to deny women coverage for birth control,mostly-true
Charlie Crist,under rick scott  homeowners are paying higher  home insurance  premiums for less coverage,mostly-true
Arianna Huffington,a poll found that      of young adults use  smartphones  during sex,mostly-true
Scott Walker,says mary burke s madison school district  will be the only school district left in the state  to  ignore the  act     law  in the         school year,mostly-true
Eric Bolling,the united states has  the highest corporate tax rate in the free world,mostly-true
EMILY's List,federal investigators found a company that  david perdue  ran discriminated against women    paid them less than men for the same work,mostly-true
Greater Wisconsin Committee,scott walker cut school funding more per student than any governor in america,mostly-true
The Other 98%,mcdonald s workers in denmark have a union  earn         year,mostly-true
Tim Kaine,pinnacle overlook in southwest virginia is  closer to eight other state capitals than to richmond,mostly-true
Scott Walker,in the latest jobs numbers wisconsin  ranked third in the midwest,mostly-true
Gina Raimondo,the pension fund in the city of providence is only    percent funded  about the same level as when he  taveras  took office,mostly-true
Edward Flynn,in       there were nearly      million arrests and only      uses of deadly force  by police in the united states,mostly-true
American LeadHERship PAC,there have been at least     shootings each year  angel taveras  has been mayor  of providence,mostly-true
Bernie Sanders,in       the corporate income tax accounted for    percent of all federal tax revenue  today  despite record breaking profits  corporate taxes bring in less than   percent,mostly-true
Clay Pell,my campaign alone has created more jobs in the state of rhode island than narragansett beer,mostly-true
John McCain,says he holds the record for  most appearances on  meet the press,mostly-true
Facebook posts,police in the united states are allowed to use tear gas even though it  has been classified as a chemical weapon and banned in international conflict since,mostly-true
Don Beyer,the united states is the only industrialized country that does not guarantee paid time off to care for a new child,mostly-true
Martha Raddatz,the obama administration originally  wanted        troops to remain in iraq    not combat troops  but military advisers  special operations forces  to watch the counterterrorism effort,mostly-true
Scott Walker,says he  invested over      million in worker training,mostly-true
Mary Burke,wisconsin is    th in the country in terms of proficiency standards  in student testing,mostly-true
Scott Walker,borrowing in my          state budget is less than half that in my  predecessor s last budget and  the lowest it has been in a decade,mostly-true
Don Beyer,if you look at the income of average americans   they re absolutely flat in constant dollars since,mostly-true
Lee May,dekalb county has graduated five police academies and three fire academies to help reach its ambitious hiring goals in both departments,mostly-true
Ted Cruz,the obama administration is refusing to directly arm the kurds,mostly-true
Miscellany Blue,says a  lawmaker seeks to defund planned parenthood for  cutting children into small pieces,mostly-true
Jeb Bush,millions of people have given up looking for work altogether,mostly-true
Nationwide,the no    cause of childhood deaths is preventable accidents,mostly-true
Phil Kerpen,amazing fact  senate has already voted on more amendments in      than reid allowed all year last year,mostly-true
Joe Scarborough,more people have watched  morning joe  than cnn and hln   years in a row,mostly-true
Ted Cruz,today the top   percent earn a higher share of our national income than any year since,mostly-true
Bill Belichick,atmospheric conditions could push a football s pressure  down approximately one and a half pounds per square inch,mostly-true
Democratic National Committee,college tuition rates in texas jumped by     since,mostly-true
Virginia House Democratic Caucus,assault weapons and handguns are allowed in the state capitol while bullhorns  trumpets  helium balloons and flags on poles are banned,mostly-true
Nathan Deal,mercedes benz usa  moving its headquarters to atlanta will create at least     jobs,mostly-true
Ron Hayduk,the right to vote in this country has never been intrinsically tied to citizenship,mostly-true
Jeff Clemens,online voter registration is a  more secure  way of doing voter registration,mostly-true
Rick Perry,starting in december            million jobs were created in texas  in that same period  the rest of the country lost         jobs,mostly-true
Barack Obama,america is no    in wind power,mostly-true
Barack Obama,our unemployment rate is now lower than it was before the financial crisis,mostly-true
Barack Obama,the united states is  the only advanced country on earth  that doesn t guarantee  paid maternity leave to our workers,mostly-true
Joni Ernst,a strong majority of americans support  the keystone xl pipeline,mostly-true
Barack Obama,we ve seen  our deficits cut by two thirds,mostly-true
Barack Obama,today  home sales are up nearly    percent from where they were in the worst of the crisis,mostly-true
Barack Obama,we ve doubled the production of clean energy,mostly-true
Lawrence Lessig,if you ask how many times did ronald reagan attend a fundraiser when he ran for re election in       the answer is eight times  if you say how many times did barack obama attend a fundraiser in       the answer is     times,mostly-true
Barack Obama,factories are opening their doors at the fastest pace in almost two decades,mostly-true
Claire Suggs,the state covered a smaller percentage of the cost of k    education in      than it did in,mostly-true
Floridians for Solar Choice,currently  florida is one of only five states in the nation that prohibit citizens from buying electricity from companies that will put solar panels on your home or business,mostly-true
Nathan Deal,georgia is now the eighth most populous state in the nation  moving from the number    position in just four years,mostly-true
Gwen Moore,says mitch mcconnell credits republicans  for recent economic improvements  even though they took control of the senate only  days ago,mostly-true
Bernie Sanders,the gap between the very rich and everyone else in america is wider today than at any time since the     s,mostly-true
Dave Brat,in just    years  spending for social security  federal health care and interest on the debt will exceed all tax revenue,mostly-true
Bernie Sanders,a black male baby born today  if we do not change the system  stands a one in three chance  of  ending up in jail,mostly-true
George Will,says jeb bush  happens to be where a majority  of republican voters are on giving legal status to illegal immigrants,mostly-true
Motion Picture Association of America,the film and tv industry supports more than        direct jobs and pays local workers more than       billion in wages in georgia,mostly-true
Bloggers,u s  embassy celebrates america s independence on june  th in order to accommodate muslims,mostly-true
Hillary Clinton,says scott walker  cut back early voting and signed legislation that would make it harder for college students to vote,mostly-true
Hillary Clinton,in florida  when jeb bush was governor  state authorities conducted a deeply flawed purge of voters before the presidential election in       and  in      a plan to purge even more voters was headed off,mostly-true
Hillary Clinton,former gov  rick perry signed a law that a federal court said was actually written with the purpose of discriminating against minority voters,mostly-true
Hillary Clinton,in new jersey  gov  christie vetoed legislation to extend early voting,mostly-true
Anonymous Activist,percent more traffic here,mostly-true
Rick Perry,in the last seven years of my tenure  texas created     million new jobs  as a matter of fact  without texas  america would have lost         jobs,mostly-true
Patricia Morgan,the convention center  was sold as a building that would never cost taxpayers a dime,mostly-true
Mike Huckabee,sixty million americans depend on social security  and one third of all the seniors in america depend on social security for    percent of their income,mostly-true
Jeb Bush,says that during his eight years as florida governor   we created     million net new jobs    more jobs created than texas,mostly-true
Chris Taylor,says gov  scott walker s proposed state budget contained     pages of errors    an unusually high number     and millions of dollars  worth of mistakes  that were corrected with a follow up document,mostly-true
The Commonwealth Institute,says  roughly two thirds of  state  corporations didn t pay any income tax in virginia,mostly-true
Scott Walker,for our next two years in my state  we will end with a structural surplus of      million,mostly-true
Jay Roberts,about    percent of hotel guests who will pay the new    hotel motel fee will be from outside georgia,mostly-true
Tammy Baldwin,there are more members of the u s  senate than the number of wi families who would benefit from gop estate tax break,mostly-true
Bill Gates,the  highest economic growth decade was the     s  income tax rates were    percent,mostly-true
Debbie Mayfield,florida sends      billion and d c  returns      billion,mostly-true
Michael McCaul,more money is dedicated within the department of homeland security to climate change than what s spent combating  islamist terrorists radicalizing over the internet in the united states of america,mostly-true
Marco Rubio,we have a legal immigration system in america that accepts   million people a year  legally  no other country in the world even comes close to that,mostly-true
Carly Fiorina,we doubled the size of the company  hewlett packard,mostly-true
Jeb Bush,there are more poor people today as a percentage of our population than the     s,mostly-true
Dino Baccari,a penn state university study found that  electronic cigarettes       are far less addictive than cigarettes,mostly-true
Represent.us,the u s  representatives that voted to keep militarizing the police received    percent more campaign money from the defense industry  than the representatives who voted to stop it,mostly-true
Steve Crisafulli,if we choose obamacare expansion          will lose eligibility for their subsidies  of which         would be forced into medicaid,mostly-true
Rose Mary Grant,rhode island  charter schools are nationally recognized as outperforming their counterparts across the country,mostly-true
Bernie Sanders,for african americans between the ages of    and      the real unemployment rate   is    percent,mostly-true
Bobby Scott,the united states ranks second worst in income inequality across developed countries   after taxes and transfers,mostly-true
Brianna Keilar,says hillary clinton s  campaign hasn t been clear about when she wiped her server of her work emails,mostly-true
Larry O'Connor,percent of federal inmates are noncitizens,mostly-true
Generation Forward PAC,bernie sanders voted against the brady bill    background checks and waiting periods,mostly-true
Tom Toles,a  working woman  will earn       on,mostly-true
Mark Pocan,in a majority of states  you can now marry freely  but can still be fired for who you love,mostly-true
Hillary Clinton,says jeb bush  doesn t believe in a path to citizenship  if he did at one time  he no longer does,mostly-true
Chuck Todd,in florida   the number of voters who now register as  other  has grown by a million in the last    years  compare that with the democrats  who only grew by         and the republicans who grew by just,mostly-true
Barack Obama,we ve cut the deficit by two thirds,mostly-true
Facebook posts,says hillary clinton s top    donors are mainly  banks  corporations and media   while bernie sanders  top    donors are labor unions,mostly-true
Gus Bilirakis,florida has reduced its carbon emissions by    percent since,mostly-true
Donna Brazile,chris christie has led new jersey to a record breaking   credit downgrades,mostly-true
Donna Howard,texas has  the nation s highest rate and highest number of uninsured,mostly-true
Florida Democratic Party,says jeb bush  oversaw  an  average in state tuition increase of      percent during his tenure,mostly-true
Barack Obama,by one leading measure  what business owners pay out in wages and salaries is now finally growing faster than what they spend on health insurance  for the first time in    years,mostly-true
Bobby Scott,income disparities in the united states are the worst since the     s,mostly-true
Scott Walker,says  hillary clinton s rejection of efforts to make it easier to vote and harder to cheat not only defies logic  but the will of the majority of americans,mostly-true
Ultraviolet,says jeb bush  said low income women should  get their life together and find a husband,mostly-true
Hillary Clinton,american schools are  more segregated than they were in the     s,mostly-true
Cornell William Brooks,we have at least         to         hate crimes in a given year,mostly-true
Dan Gelber,after  jeb  bush s two terms in office  florida s graduation rate was dead last and remains near the bottom,mostly-true
